,avge,count,days,ma,scope,sum
588,856.493947387,111,350,"('ma5', 'ma10')",0.22,95070.82816
555,852.513138198,111,350,"('ma5', 'ma10')",0.21,94628.95834
576,828.158317193,114,290,"('ma5', 'ma10')",0.22,94410.04816
654,847.404846126,111,350,"('ma5', 'ma10')",0.24,94061.93792
579,824.611124211,114,300,"('ma5', 'ma10')",0.22,94005.66816
642,820.124919649,114,290,"('ma5', 'ma10')",0.24,93494.24084
621,838.148715676,111,350,"('ma5', 'ma10')",0.23,93034.50744
543,815.01085386,114,290,"('ma5', 'ma10')",0.21,92911.23734
645,814.873963509,114,300,"('ma5', 'ma10')",0.24,92895.63184
546,811.462424035,114,300,"('ma5', 'ma10')",0.21,92506.71634
573,810.519124211,114,280,"('ma5', 'ma10')",0.22,92399.18016
609,810.295854737,114,290,"('ma5', 'ma10')",0.23,92373.72744
612,806.748661754,114,300,"('ma5', 'ma10')",0.23,91969.34744
522,828.08521982,111,350,"('ma5', 'ma10')",0.2,91917.4594
489,826.292510541,111,350,"('ma5', 'ma10')",0.19,91718.46867
639,803.037147719,114,280,"('ma5', 'ma10')",0.24,91546.23484
585,816.839028214,112,330,"('ma5', 'ma10')",0.22,91485.97116
552,814.751074464,112,330,"('ma5', 'ma10')",0.21,91252.12034
540,796.945590702,114,280,"('ma5', 'ma10')",0.21,90851.79734
606,792.656661754,114,280,"('ma5', 'ma10')",0.23,90362.85944
651,805.474927857,112,330,"('ma5', 'ma10')",0.24,90213.19192
591,819.475397273,110,370,"('ma5', 'ma10')",0.22,90142.2937
510,790.36655614,114,290,"('ma5', 'ma10')",0.2,90101.7874
582,796.509620885,113,310,"('ma5', 'ma10')",0.22,90005.58716
477,788.838479561,114,290,"('ma5', 'ma10')",0.19,89927.58667
480,788.419619912,114,300,"('ma5', 'ma10')",0.19,89879.83667
513,787.291196491,114,300,"('ma5', 'ma10')",0.2,89751.1964
558,813.455662727,110,370,"('ma5', 'ma10')",0.21,89480.1229
618,798.657593214,112,330,"('ma5', 'ma10')",0.23,89449.65044
549,789.763861416,113,310,"('ma5', 'ma10')",0.21,89243.31634
657,811.087362909,110,370,"('ma5', 'ma10')",0.24,89219.60992
648,788.160618053,113,310,"('ma5', 'ma10')",0.24,89062.14984
519,791.489307143,112,330,"('ma5', 'ma10')",0.2,88646.8024
624,803.406167636,110,370,"('ma5', 'ma10')",0.23,88374.67844
507,774.907591228,114,280,"('ma5', 'ma10')",0.2,88339.4654
486,787.859657768,112,330,"('ma5', 'ma10')",0.19,88240.28167
615,778.48908354,113,310,"('ma5', 'ma10')",0.23,87969.26644
474,766.067742719,114,280,"('ma5', 'ma10')",0.19,87331.72267
570,755.075229739,115,250,"('ma5', 'ma10')",0.22,86833.65142
492,786.657741,110,370,"('ma5', 'ma10')",0.19,86532.35151
525,786.512178182,110,370,"('ma5', 'ma10')",0.2,86516.3396
537,750.690150174,115,250,"('ma5', 'ma10')",0.21,86329.36727
516,761.990074336,113,310,"('ma5', 'ma10')",0.2,86104.8784
636,748.489189217,115,250,"('ma5', 'ma10')",0.24,86076.25676
483,758.355563451,113,310,"('ma5', 'ma10')",0.19,85694.17867
603,742.159154174,115,250,"('ma5', 'ma10')",0.23,85348.30273
504,738.786791304,115,250,"('ma5', 'ma10')",0.2,84960.481
456,763.312589189,111,350,"('ma5', 'ma10')",0.18,84727.6974
471,730.052590783,115,250,"('ma5', 'ma10')",0.19,83956.04794
447,705.325836842,114,300,"('ma5', 'ma10')",0.18,80407.1454
444,703.399187719,114,290,"('ma5', 'ma10')",0.18,80187.5074
453,709.196351786,112,330,"('ma5', 'ma10')",0.18,79429.9914
441,693.140538596,114,280,"('ma5', 'ma10')",0.18,79018.0214
459,712.817836909,110,370,"('ma5', 'ma10')",0.18,78409.96206
390,695.380192793,111,350,"('ma5', 'ma10')",0.16,77187.2014
423,692.987067838,111,350,"('ma5', 'ma10')",0.17,76921.56453
438,664.039698609,115,250,"('ma5', 'ma10')",0.18,76364.56534
450,671.304764602,113,310,"('ma5', 'ma10')",0.18,75857.4384
291,655.282008739,111,350,"('ma5', 'ma10')",0.13,72736.30297
357,651.190633784,111,350,"('ma5', 'ma10')",0.15,72282.16035
378,633.937222807,114,290,"('ma5', 'ma10')",0.16,72268.8434
393,655.270715273,110,370,"('ma5', 'ma10')",0.16,72079.77868
375,630.114924561,114,280,"('ma5', 'ma10')",0.16,71833.1014
411,629.760881842,114,290,"('ma5', 'ma10')",0.17,71792.74053
426,651.746835364,110,370,"('ma5', 'ma10')",0.17,71692.15189
324,645.785304865,111,350,"('ma5', 'ma10')",0.14,71682.16884
414,626.210162544,114,300,"('ma5', 'ma10')",0.17,71387.95853
381,624.977380702,114,300,"('ma5', 'ma10')",0.16,71247.4214
408,624.652434474,114,280,"('ma5', 'ma10')",0.17,71210.37753
258,636.961451532,111,350,"('ma5', 'ma10')",0.12,70702.72112
246,620.036318246,114,290,"('ma5', 'ma10')",0.12,70684.14028
372,613.974632,115,250,"('ma5', 'ma10')",0.16,70607.08268
420,629.166442232,112,330,"('ma5', 'ma10')",0.17,70466.64153
279,617.455548772,114,290,"('ma5', 'ma10')",0.13,70389.93256
387,627.951807143,112,330,"('ma5', 'ma10')",0.16,70330.6024
243,611.098362105,114,280,"('ma5', 'ma10')",0.12,69665.21328
405,603.49877513,115,250,"('ma5', 'ma10')",0.17,69402.35914
276,604.648934737,114,280,"('ma5', 'ma10')",0.13,68929.97856
249,604.317905965,114,300,"('ma5', 'ma10')",0.12,68892.24128
282,602.059425965,114,300,"('ma5', 'ma10')",0.13,68634.77456
288,611.494272857,112,330,"('ma5', 'ma10')",0.13,68487.35856
240,593.640106783,115,250,"('ma5', 'ma10')",0.12,68268.61228
312,598.534875789,114,290,"('ma5', 'ma10')",0.14,68232.97584
360,618.023695909,110,370,"('ma5', 'ma10')",0.15,67982.60655
255,605.9526275,112,330,"('ma5', 'ma10')",0.12,67866.69428
294,616.950287273,110,370,"('ma5', 'ma10')",0.13,67864.5316
273,589.688268261,115,250,"('ma5', 'ma10')",0.13,67814.15085
345,592.218169737,114,290,"('ma5', 'ma10')",0.15,67512.87135
327,613.426145091,110,370,"('ma5', 'ma10')",0.14,67476.87596
417,594.718385221,113,310,"('ma5', 'ma10')",0.17,67203.17753
384,594.067959292,113,310,"('ma5', 'ma10')",0.16,67129.6794
354,598.818503125,112,330,"('ma5', 'ma10')",0.15,67067.67235
321,596.735016429,112,330,"('ma5', 'ma10')",0.14,66834.32184
309,584.997919649,114,280,"('ma5', 'ma10')",0.14,66689.76284
348,584.937362719,114,300,"('ma5', 'ma10')",0.15,66682.85935
315,583.756691579,114,300,"('ma5', 'ma10')",0.14,66548.26284
342,581.771380263,114,280,"('ma5', 'ma10')",0.15,66321.93735
306,576.005090957,115,250,"('ma5', 'ma10')",0.14,66240.58546
567,564.715303932,117,200,"('ma5', 'ma10')",0.22,66071.69056
339,572.706489565,115,250,"('ma5', 'ma10')",0.15,65861.2463
633,562.090890598,117,200,"('ma5', 'ma10')",0.24,65764.6342
534,553.238867863,117,200,"('ma5', 'ma10')",0.21,64728.94754
252,572.268329912,113,310,"('ma5', 'ma10')",0.12,64666.32128
285,572.208004956,113,310,"('ma5', 'ma10')",0.13,64659.50456
174,561.719929565,115,250,"('ma5', 'ma10')",0.1,64597.7919
108,561.198430957,115,250,"('ma5', 'ma10')",0.08,64537.81956
600,549.006171282,117,200,"('ma5', 'ma10')",0.23,64233.72204
261,577.773620364,110,370,"('ma5', 'ma10')",0.12,63555.09824
207,551.203600348,115,250,"('ma5', 'ma10')",0.11,63388.41404
351,560.41095,113,310,"('ma5', 'ma10')",0.15,63326.43735
318,557.316255221,113,310,"('ma5', 'ma10')",0.14,62976.73684
177,548.356639474,114,280,"('ma5', 'ma10')",0.1,62512.6569
501,533.687511111,117,200,"('ma5', 'ma10')",0.2,62441.4388
111,543.14376807,114,280,"('ma5', 'ma10')",0.08,61918.38956
210,541.606912632,114,280,"('ma5', 'ma10')",0.11,61743.18804
468,526.177602564,117,200,"('ma5', 'ma10')",0.19,61562.7795
180,536.861613158,114,290,"('ma5', 'ma10')",0.1,61202.2239
141,529.512530609,115,250,"('ma5', 'ma10')",0.09,60893.94102
75,529.454341739,115,250,"('ma5', 'ma10')",0.07,60887.2493
213,531.960298596,114,290,"('ma5', 'ma10')",0.11,60643.47404
114,524.826452281,114,290,"('ma5', 'ma10')",0.08,59830.21556
144,517.305096667,114,280,"('ma5', 'ma10')",0.09,58972.78102
216,510.593052982,114,300,"('ma5', 'ma10')",0.11,58207.60804
183,509.282428947,114,300,"('ma5', 'ma10')",0.1,58058.1969
117,502.938575088,114,300,"('ma5', 'ma10')",0.08,57334.99756
147,499.083044035,114,290,"('ma5', 'ma10')",0.09,56895.46702
42,479.220051304,115,250,"('ma5', 'ma10')",0.06,55110.3059
150,479.408412456,114,300,"('ma5', 'ma10')",0.09,54652.55902
435,463.032250427,117,200,"('ma5', 'ma10')",0.18,54174.7733
78,473.850002632,114,280,"('ma5', 'ma10')",0.07,54018.9003
225,474.353146937,111,350,"('ma5', 'ma10')",0.11,52653.19931
219,463.272354336,113,310,"('ma5', 'ma10')",0.11,52349.77604
186,454.725441593,113,310,"('ma5', 'ma10')",0.1,51383.9749
120,444.171456283,113,310,"('ma5', 'ma10')",0.08,50191.37456
369,428.946059145,117,200,"('ma5', 'ma10')",0.16,50186.68892
81,436.736792105,114,290,"('ma5', 'ma10')",0.07,49787.9943
84,436.471730702,114,300,"('ma5', 'ma10')",0.07,49757.7773
