date,close,ma5,ma10,ma20,gt_ma,earning,earning2
2016-02-26,9.48,10.074,10.102,9.847,False,0.0,
2016-02-25,9.5,10.202,10.127,9.886,False,0.0,
2016-02-24,10.56,10.338,10.165,9.92,True,,0.0
2016-02-23,10.38,10.28,10.079,9.915,True,,0.0
2016-02-22,10.45,10.25,9.999,9.929,True,,0.0
2016-02-19,10.12,10.13,9.873,9.92,False,0.0,-0.64
2016-02-18,10.18,10.052,9.793,9.914,True,-0.68,0.0
2016-02-17,10.27,9.992,9.669,9.935,True,0.29,0.0
2016-02-16,10.23,9.878,9.582,9.936,True,0.15,0.0
2016-02-15,9.85,9.748,9.519,9.954,True,0.6,0.0
2016-02-05,9.73,9.616,9.591,9.982,True,0.39,0.0
2016-02-04,9.88,9.534,9.645,10.054,True,0.3,0.0
2016-02-03,9.7,9.346,9.675,10.118,True,0.57,0.0
2016-02-02,9.58,9.286,9.75,10.253,True,0.65,0.0
2016-02-01,9.19,9.29,9.859,10.386,False,0.0,0.66
2016-01-29,9.32,9.566,9.966,10.564,False,0.0,0.41
2016-01-28,8.94,9.756,10.034,10.805,False,0.0,0.94
2016-01-27,9.4,10.004,10.2,11.092,False,0.0,0.3
2016-01-26,9.6,10.214,10.29,11.35,False,0.0,-0.02
2016-01-25,10.57,10.428,10.389,11.592,True,-1.38,0.0
2016-01-22,10.27,10.366,10.372,11.802,False,0.0,-0.95
2016-01-21,10.18,10.312,10.463,12.023,False,0.0,-1.24
2016-01-20,10.45,10.396,10.561,12.255,True,-1.05,0.0
2016-01-19,10.67,10.366,10.756,12.482,True,-1.07,0.0
2016-01-18,10.26,10.35,10.913,12.712,False,0.0,0.31
2016-01-15,10.0,10.378,11.161,12.954,False,0.0,0.27
2016-01-14,10.6,10.614,11.576,13.225,False,0.0,-0.42
2016-01-13,10.3,10.726,11.984,13.437,False,0.0,0.15
2016-01-12,10.59,11.146,12.409,13.653,False,0.0,0.08
2016-01-11,10.4,11.476,12.795,13.851,False,0.0,-0.14
2016-01-08,11.18,11.944,13.231,14.05,False,0.0,-1.18
2016-01-07,11.16,12.538,13.582,14.23,False,0.0,-0.56
2016-01-06,12.4,13.242,13.949,14.385,False,0.0,-2.1
2016-01-05,12.24,13.672,14.208,14.484,False,0.0,-1.65
2016-01-04,12.74,14.114,14.511,14.584,False,0.0,-2.34
2015-12-31,14.15,14.518,14.747,14.661,False,0.0,-2.97
2015-12-30,14.68,14.626,14.873,14.658,True,-3.52,0.0
2015-12-29,14.55,14.656,14.89,14.609,False,0.0,-2.15
2015-12-28,14.45,14.744,14.896,14.592,False,0.0,-2.21
2015-12-25,14.76,14.908,14.906,14.539,False,0.0,-2.02
2015-12-24,14.69,14.976,14.869,14.47,False,0.0,-0.54
2015-12-23,14.83,15.12,14.878,14.462,False,0.0,-0.15
2015-12-22,14.99,15.124,14.82,14.47,False,0.0,-0.44
2015-12-21,15.27,15.048,14.759,14.438,True,-0.82,0.0
2015-12-18,15.1,14.904,14.657,14.394,True,-0.34,0.0
2015-12-17,15.41,14.762,14.575,14.353,True,-0.72,0.0
2015-12-16,14.85,14.636,14.442,14.292,True,-0.02,0.0
2015-12-15,14.61,14.516,14.328,14.247,True,0.38,0.0
2015-12-14,14.55,14.47,14.287,14.241,True,0.72,0.0
2015-12-11,14.39,14.41,14.172,14.244,False,0.0,0.71
