开仓日期,交易所,合约,手数,开仓方向,开仓价格,平仓日期,平仓价格,逐笔平仓盈亏,盈亏,品种
2015-03-31,大商所,a1509,1,sell,4114,20150401,4144,-300,-1,a
2015-03-31,大商所,i1509,1,sell,403,20150403,381,2200,1,i
2015-04-02,上期所,ag1512,1,buy,3660,20150409,3609,-765,-1,ag
2015-04-02,大商所,y1509,1,buy,5400,20150409,5382,-180,-1,y
2015-04-02,上期所,rb1510,1,sell,2364,20150424,2362,20,1,rb
2015-04-02,郑商所,TA509,1,sell,4676,20150407,4870,-970,-1,TA
2015-04-02,大商所,y1509,1,sell,5344,20150402,5404,-600,-1,y
2015-04-03,大商所,i1509,1,sell,375,20150407,385,-1000,-1,i
2015-04-08,郑商所,TA509,1,buy,4916,20150429,5276,1800,1,TA
2015-04-09,大商所,y1509,1,sell,5382,20150413,5416,-340,-1,y
2015-04-09,大商所,i1509,1,sell,383,20150413,383,0,-1,i
2015-04-09,郑商所,MA509,1,buy,2465,20150409,2415,-500,-1,MA
2015-04-10,上期所,hc1510,1,sell,2358,20150413,2408,-500,-1,hc
2015-04-10,大商所,jm1509,1,sell,668,20150422,662,360,1,jm
2015-04-10,郑商所,SR601,1,buy,5528,20150423,5663,1350,1,SR
2015-04-10,大商所,v1509,1,buy,5690,20150414,5610,-400,-1,v
2015-04-13,上期所,rb1510,1,sell,2277,20150413,2325,-480,-1,rb
2015-04-13,大商所,a1509,1,sell,4029,20150414,4082,-530,-1,a
2015-04-14,大商所,a1509,1,sell,4074,20150414,4089,-150,-1,a
2015-04-16,郑商所,TA509,1,buy,5284,20150429,5276,-40,-1,TA
2015-04-17,大商所,y1601,1,buy,5602,20150520,5800,1980,1,y
2015-04-17,郑商所,MA509,1,buy,2526,20150507,2542,160,1,MA
2015-04-20,大商所,jm1509,1,sell,652,20150422,668,-960,-1,jm
2015-04-20,大商所,i1601,1,sell,395,20150422,395,0,-1,i
2015-04-21,大商所,p1601,1,buy,4868,20150427,4798,-700,-1,p
2015-04-22,郑商所,SR601,1,buy,5724,20150423,5597,-1270,-1,SR
2015-04-22,上期所,hc1510,1,sell,2372,20150422,2422,-500,-1,hc
2015-04-22,上期所,rb1601,1,sell,2315,20150424,2364,-490,-1,rb
2015-04-23,大商所,cs1509,1,sell,2961,20150428,2959,20,1,cs
2015-04-24,郑商所,SR601,1,buy,5731,20150427,5700,-310,-1,SR
2015-04-24,大商所,m1601,1,buy,2808,20150424,2758,-500,-1,m
2015-04-27,上期所,rb1509,1,buy,2397,20150508,2396,-10,-1,rb
2015-04-30,郑商所,MA509,1,buy,2557,20150507,2542,-150,-1,MA
2015-05-04,郑商所,TA509,1,sell,5306,20150506,5568,-1310,-1,TA
2015-05-05,大商所,y1601,1,buy,5900,20150520,5800,-1000,-1,y
2015-05-06,郑商所,TA509,1,buy,5566,20150508,5410,-780,-1,TA
2015-05-06,郑商所,SR509,1,buy,5648,20150508,5577,-710,-1,SR
2015-05-08,上期所,rb1510,1,buy,2418,20150514,2369,-490,-1,rb
2015-05-15,郑商所,SR509,1,sell,5494,20150519,5579,-850,-1,SR
2015-05-15,郑商所,TA509,1,sell,5288,20150522,5146,710,1,TA
