品种,开仓方向,手数,开仓日期,开仓价格,平仓日期,平仓价格,逐笔平仓盈亏,盈亏
MA,buy,34,685554019,79983,685564086,80169,1860,-8
MA,sell,28,524348577,62257,524349343,62489,-2120,-4
RM,buy,1,20170426,2468,20170426,2421,-470,-1
SR,buy,4,80601762,22631,80601781,22537,-940,-2
SR,sell,6,100833102,31075,100833356,31326,-2760,-5
TA,buy,15,302308879,72396,302318534,72414,90,-5
TA,sell,8,161214904,38366,161223917,39388,-5110,-6
a,buy,7,141153273,25267,141153294,25190,-770,-1
a,sell,13,262116025,49755,262116478,50027,-2720,-5
ag,buy,5,100752754,18408,100752769,18063,-5175,-5
ag,sell,2,40321654,8446,40321659,8617,-2565,-2
bu,buy,8,161346748,20516,161346827,20216,-3000,-6
bu,sell,1,20170327,2608,20170328,2668,-600,-1
c,buy,26,342818977,27226,342819703,27408,2410,-5
c,sell,9,161265322,15271,161266429,14927,3240,-4
cs,buy,16,181506750,17638,181506889,17537,-1160,-3
cs,sell,9,161344645,16571,161344925,16671,-1000,-2
hc,buy,8,161296499,21881,161296712,22169,2880,-2
hc,sell,3,60461947,7940,60461957,8065,-1250,-3
i,buy,1,20151112,319,20151119,300,-1900,-1
i,sell,4,80601563,1556,80601645,1544,1200,-2
jd,buy,23,463834898,90075,463844329,89678,-3970,-7
jd,sell,7,141164712,25813,141173831,25987,-1740,-3
jm,sell,2,40300830,1320,40300844,1330,-600,0
m,buy,30,584668063,81322,584677636,80911,-4450,-13
m,sell,14,262138044,35822,262138424,36111,-3250,-5
p,buy,3,60471844,15356,60471860,15228,-1280,-3
rb,buy,52,1048611479,161922,1048621900,162852,9300,-6
rb,sell,27,544429599,77010,544430284,78440,-14300,-19
v,buy,1,20150410,5690,20150414,5610,-400,-1
y,buy,9,181356346,50760,181365826,51050,2900,1
y,sell,3,60452033,16350,60461030,16604,-2540,-3
