,交易所,合约,手数,开仓日期,开仓方向,开仓价格,平仓日期,平仓价格,逐笔平仓盈亏
0,大商所,a1509,1,20150331,sell,4114,20150401,4144,-300
1,大商所,y1509,1,20150402,sell,5344,20150402,5404,-600
2,大商所,i1509,1,20150331,sell,403,20150403,381,2200
3,大商所,i1509,1,20150403,sell,375,20150407,385,-1000
4,郑商所,TA509,1,20150402,sell,4676,20150407,4870,-970
5,大商所,y1509,1,20150402,buy,5400,20150409,5382,-180
6,上期所,ag1512,1,20150402,buy,3660,20150409,3609,-765
7,郑商所,MA509,1,20150409,buy,2465,20150409,2415,-500
8,大商所,y1509,1,20150409,sell,5382,20150413,5416,-340
9,大商所,i1509,1,20150409,sell,383,20150413,383,0
10,上期所,rb1510,1,20150413,sell,2277,20150413,2325,-480
11,上期所,hc1510,1,20150410,sell,2358,20150413,2408,-500
12,大商所,a1509,1,20150413,sell,4029,20150414,4082,-530
13,大商所,a1509,1,20150414,sell,4074,20150414,4089,-150
14,大商所,v1509,1,20150410,buy,5690,20150414,5610,-400
15,大商所,jm1509,1,20150410,sell,668,20150422,662,360
16,大商所,jm1509,1,20150420,sell,652,20150422,668,-960
17,大商所,i1601,1,20150420,sell,395,20150422,395,0
18,上期所,hc1510,1,20150422,sell,2372,20150422,2422,-500
19,郑商所,SR601,1,20150410,buy,5528,20150423,5663,1350
20,郑商所,SR601,1,20150422,buy,5724,20150423,5597,-1270
21,大商所,m1601,1,20150424,buy,2808,20150424,2758,-500
22,上期所,rb1510,1,20150402,sell,2364,20150424,2362,20
23,上期所,rb1601,1,20150422,sell,2315,20150424,2364,-490
24,大商所,p1601,1,20150421,buy,4868,20150427,4798,-700
25,郑商所,SR601,1,20150424,buy,5731,20150427,5700,-310
26,大商所,cs1509,1,20150423,sell,2961,20150428,2959,20
27,郑商所,TA509,1,20150408,buy,4916,20150429,5276,1800
28,郑商所,TA509,1,20150416,buy,5284,20150429,5276,-40
29,郑商所,TA509,1,20150504,sell,5306,20150506,5568,-1310
30,郑商所,MA509,1,20150417,buy,2526,20150507,2542,160
31,郑商所,MA509,1,20150430,buy,2557,20150507,2542,-150
32,上期所,rb1509,1,20150427,buy,2397,20150508,2396,-10
33,郑商所,SR509,1,20150506,buy,5648,20150508,5577,-710
34,郑商所,TA509,1,20150506,buy,5566,20150508,5410,-780
35,上期所,rb1510,1,20150508,buy,2418,20150514,2369,-490
36,郑商所,SR509,1,20150515,sell,5494,20150519,5579,-850
37,大商所,m1509,1,20150520,buy,2637,20150520,2606,-310
38,大商所,y1601,1,20150417,buy,5602,20150520,5800,1980
39,大商所,y1601,1,20150505,buy,5900,20150520,5800,-1000
40,上期所,ag1512,1,20150519,buy,3847,20150520,3770,-1155
41,上期所,rb1510,1,20150519,sell,2347,20150521,2345,20
42,大商所,p1509,1,20150522,buy,4952,20150522,4950,-20
43,郑商所,TA509,1,20150515,sell,5288,20150522,5146,710
44,郑商所,TA509,1,20150521,sell,5056,20150522,5146,-450
45,郑商所,MA509,1,20150521,sell,2433,20150522,2478,-450
46,大商所,c1509,1,20150526,sell,2458,20150526,2475,-170
47,郑商所,TA509,1,20150525,sell,5018,20150526,5094,-380
48,大商所,y1509,1,20150527,buy,5770,20150604,5782,120
49,上期所,ag1512,1,20150602,buy,3711,20150604,3611,-1500
50,大商所,m1601,1,20150603,buy,2622,20150612,2560,-620
51,上期所,ag1512,1,20150612,buy,3566,20150612,3562,-60
52,上期所,rb1510,1,20150527,buy,2353,20150616,2261,-920
53,大商所,y1601,1,20150610,buy,5916,20150617,5880,-360
54,大商所,y1601,1,20150618,buy,5954,20150619,5800,-1540
55,上期所,ag1512,1,20150619,buy,3624,20150624,3511,-1695
56,郑商所,TA601,1,20150527,buy,5154,20150630,5160,30
57,郑商所,TA601,1,20150703,buy,5188,20150706,4990,-990
58,大商所,m1601,1,20150702,buy,2772,20150707,2771,-10
59,大商所,m1601,1,20150707,buy,2823,20150708,2740,-830
60,郑商所,TA601,1,20150710,buy,4854,20150716,4630,-1120
61,大商所,m1605,1,20150803,buy,2581,20150813,2599,180
62,大商所,m1605,1,20150813,buy,2622,20150824,2540,-820
63,上期所,rb1601,1,20150709,buy,1995,20150824,2000,50
64,郑商所,TA601,1,20150807,buy,4606,20150824,4500,-530
65,郑商所,MA601,1,20150828,buy,1942,20150901,1900,-420
66,上期所,rb1601,1,20150826,buy,1957,20150907,1847,-1100
67,大商所,jd1605,1,20150921,buy,3645,20150921,3646,10
68,上期所,rb1601,1,20150911,buy,1961,20150928,1874,-870
69,大商所,c1601,1,20150527,sell,2221,20151012,1897,3240
70,大商所,m1605,1,20150902,buy,2595,20151027,2500,-950
71,大商所,y1605,1,20150922,buy,5302,20151027,5400,980
72,大商所,c1601,1,20150604,sell,2141,20151027,1920,2210
73,大商所,c1605,1,20151012,sell,1796,20151106,1850,-540
74,大商所,c1609,1,20151020,sell,1743,20151109,1809,-660
75,上期所,rb1605,1,20150928,buy,1891,20151109,1791,-1000
76,郑商所,TA601,1,20150826,buy,4342,20151111,4652,1550
77,郑商所,MA605,1,20151029,buy,1896,20151111,1835,-610
78,郑商所,MA605,1,20151113,buy,1803,20151118,1727,-760
79,大商所,i1609,1,20151112,buy,319,20151119,300,-1900
80,大商所,a1609,1,20151119,sell,3664,20151124,3691,-270
81,郑商所,MA605,1,20151113,sell,1802,20151124,1670,1320
82,郑商所,TA605,1,20151113,sell,4454,20151126,4654,-1000
83,大商所,m1609,1,20151125,sell,2321,20151201,2391,-700
84,大商所,m1609,1,20151125,buy,2322,20151208,2324,20
85,大商所,y1609,1,20151123,buy,5290,20151208,5572,2820
86,郑商所,TA605,1,20151104,buy,4654,20151208,4410,-1220
87,上期所,rb1609,1,20151124,sell,1664,20151215,1691,-270
88,上期所,rb1609,1,20151124,buy,1665,20151215,1690,250
89,上期所,rb1610,1,20151215,sell,1699,20151222,1779,-800
90,郑商所,MA605,1,20151208,sell,1621,20151223,1701,-800
91,郑商所,TA605,1,20151209,sell,4312,20160104,4512,-1000
92,上期所,rb1610,1,20151215,buy,1700,20160105,1785,850
93,郑商所,TA605,1,20151209,buy,4314,20160112,4318,20
94,郑商所,MA605,1,20151208,buy,1623,20160113,1694,710
95,大商所,m1609,1,20160112,sell,2344,20160119,2424,-800
96,大商所,jd1605,1,20151208,sell,3203,20160121,3323,-1200
97,大商所,jd1605,1,20151208,buy,3204,20160125,3270,660
98,郑商所,TA605,1,20160115,sell,4256,20160204,4398,-710
99,大商所,y1609,1,20151222,sell,5624,20160215,5784,-1600
100,大商所,m1609,1,20160112,buy,2345,20160219,2345,0
101,上期所,rb1610,1,20160126,sell,1830,20160222,1912,-820
102,大商所,m1609,1,20160222,buy,2365,20160229,2296,-690
103,大商所,y1609,1,20151222,buy,5626,20160302,5634,80
