,date,o,h,l,c,vol,b,d,ma,ob,cb,hb,lb,bb,label,DKX_b_up,higher_DKX,chigher_DKX,ma_up,chigher_ma,lhb,c_up,l_up
24, 2009/05/04,3575,3661,3575,3637,575670,3542.4634920634917,,3542.0,1.0091847122798592,1.026686656940377,1.0334616032605775,1.0091847122798592,1.0026164368299424,0,1,1,1,0,1,,0,0
25, 2009/05/05,3637,3645,3573,3579,176798,3549.0555555555566,,3537.4,1.024779675343988,1.0084372994380348,1.0270337961586022,1.0067467088270743,1.0018608698457538,1,1,1,1,0,1,0.9759628516798688,0,0
26, 2009/05/06,3580,3600,3575,3596,104310,3554.2055555555553,,3544.4,1.007257443060412,1.0117591523031402,1.0128845796138222,1.0058506589220595,1.0014510902744076,0,1,1,1,0,1,0.9807956104252401,1,1
27, 2009/05/07,3630,3632,3593,3595,151292,3560.346825396825,,3551.1,1.0195635925428168,1.009733089584415,1.0201253355690112,1.0091713465582206,1.0017278882004081,1,1,1,1,0,1,0.9980555555555556,0,1
28, 2009/05/08,3601,3618,3592,3616,104146,3566.1452380952383,3543.6769047619046,3561.2,1.0097737920296759,1.013980014434687,1.0145408440886885,1.0072500585866693,1.0016286089481654,1,1,1,1,0,1,0.9889867841409692,1,0
29, 2009/05/11,3617,3679,3608,3640,337180,3573.9111111111115,3547.48753968254,3574.9,1.012056508276025,1.0184920348699835,1.0294044495293049,1.0095382587392585,1.0021776659382557,1,1,1,1,0,1,0.9972360420121614,1,1
30, 2009/05/12,3646,3661,3631,3646,194050,3581.782539682539,3552.326111111111,3589.4,1.0179289109838456,1.0179289109838456,1.0221167699154852,1.013741052052206,1.0022024690392988,0,1,1,1,0,1,0.9869529763522696,1,1
31, 2009/05/13,3656,3658,3635,3640,119000,3588.738095238096,3558.055317460318,3602.5,1.018742494708977,1.014284103047231,1.0192997936666952,1.0128908556529352,1.0019419256971902,0,1,1,1,0,1,0.9928981152690521,0,1
32, 2009/05/14,3618,3622,3592,3596,140800,3591.238095238096,3564.1105555555564,3609.9,1.0074519995756868,1.0013259785721862,1.0085658215763231,1.0002121565715496,1.0006966236971477,1,1,1,1,0,0,0.981957353745216,0,0
33, 2009/05/15,3602,3619,3598,3606,132894,3593.8388888888885,3570.172539682541,3615.1,1.0022708617062226,1.0033838776548136,1.0070011794877345,1.0011578457576316,1.0007242052968421,1,1,1,1,0,0,0.9933738266151297,1,1
35, 2009/05/19,3632,3632,3613,3620,95996,3600.327777777778,3580.6658730158742,3616.4,1.008797038541244,1.005464008678222,1.008797038541244,1.003519741258126,1.0011688067202855,0,1,1,1,0,1,0.9983420834484664,1,1
