,y_true_value,y_pred_value,both>1,both<1,right
100,0.93,0.74,False,True,True
101,0.89,0.74,False,True,True
102,0.93,0.74,False,True,True
103,0.94,0.74,False,True,True
104,0.91,0.74,False,True,True
105,0.9,0.74,False,True,True
106,0.9,0.74,False,True,True
107,0.89,0.74,False,True,True
108,0.92,0.74,False,True,True
109,0.92,0.74,False,True,True
110,0.9,0.74,False,True,True
111,0.91,0.74,False,True,True
112,0.94,0.74,False,True,True
113,0.93,0.74,False,True,True
114,0.92,0.74,False,True,True
115,0.96,0.74,False,True,True
116,0.98,0.74,False,True,True
117,0.96,0.74,False,True,True
118,0.97,0.74,False,True,True
119,0.95,0.74,False,True,True
120,0.98,0.74,False,True,True
121,1.01,0.74,False,False,False
122,1.0,0.74,False,False,False
123,0.98,0.74,False,True,True
124,0.99,0.74,False,True,True
125,1.01,0.74,False,False,False
126,1.03,0.74,False,False,False
127,1.06,0.74,False,False,False
128,1.06,0.74,False,False,False
129,1.05,0.74,False,False,False
130,1.11,0.74,False,False,False
131,1.11,0.74,False,False,False
132,1.12,0.74,False,False,False
133,1.11,0.74,False,False,False
134,1.08,0.74,False,False,False
135,1.07,0.74,False,False,False
136,1.06,0.74,False,False,False
137,1.07,0.74,False,False,False
138,1.06,0.74,False,False,False
139,1.09,0.74,False,False,False
140,1.08,0.74,False,False,False
141,1.07,0.74,False,False,False
142,1.06,0.74,False,False,False
143,1.11,0.74,False,False,False
144,1.09,0.74,False,False,False
145,1.06,0.74,False,False,False
146,1.06,0.74,False,False,False
147,1.07,0.74,False,False,False
148,1.07,0.74,False,False,False
149,1.07,0.74,False,False,False
150,1.05,0.74,False,False,False
151,1.03,0.74,False,False,False
152,1.02,0.74,False,False,False
153,1.02,0.74,False,False,False
154,1.04,0.74,False,False,False
155,1.04,0.74,False,False,False
156,1.05,0.74,False,False,False
157,1.04,0.74,False,False,False
158,1.04,0.74,False,False,False
159,1.02,0.74,False,False,False
160,1.02,0.74,False,False,False
161,1.02,0.74,False,False,False
162,1.03,0.74,False,False,False
163,1.02,0.74,False,False,False
164,1.04,0.74,False,False,False
165,1.06,0.74,False,False,False
166,1.06,0.74,False,False,False
167,1.06,0.74,False,False,False
168,1.05,0.74,False,False,False
169,1.06,0.74,False,False,False
170,1.07,0.74,False,False,False
171,1.07,0.74,False,False,False
172,1.1,0.74,False,False,False
173,1.07,0.74,False,False,False
174,1.05,0.74,False,False,False
175,1.05,0.74,False,False,False
176,1.04,0.74,False,False,False
177,1.03,0.74,False,False,False
178,1.03,0.74,False,False,False
179,1.03,0.74,False,False,False
180,1.03,0.74,False,False,False
181,1.02,0.74,False,False,False
182,1.01,0.74,False,False,False
183,1.01,0.74,False,False,False
184,0.98,0.74,False,True,True
185,0.98,0.74,False,True,True
186,0.96,0.74,False,True,True
187,0.98,0.74,False,True,True
188,0.97,0.74,False,True,True
189,0.97,0.74,False,True,True
190,0.96,0.74,False,True,True
191,0.93,0.74,False,True,True
192,0.92,0.74,False,True,True
193,0.93,0.74,False,True,True
194,0.93,0.74,False,True,True
195,0.93,0.74,False,True,True
196,0.95,0.74,False,True,True
197,0.96,0.74,False,True,True
198,0.97,0.74,False,True,True
199,1.0,0.74,False,False,False
